# Urban Heat Island Multi-Agent Dataset (100 lines)
# Format: timestamp,user_id,latitude,longitude,temperature,humidity,air_quality,noise_level,wind_speed,surface_material,vegetation_density,building_height,population_density,biometric_verified,activity_type,heat_stress_level

2026-04-25T12:00:00Z,user_017,34.0538,-118.2453,43.2,85,very_poor,118,0.0,concrete,very_low,95,very_high,yes,outdoor_work,very_high
2026-04-25T12:15:00Z,user_018,34.0539,-118.2454,44.0,88,very_poor,122,0.0,asphalt,very_low,100,very_high,yes,outdoor_work,very_high
2026-04-25T12:30:00Z,user_019,34.0540,-118.2455,44.8,90,very_poor,125,0.0,concrete,very_low,105,very_high,yes,outdoor_work,very_high
2026-04-25T12:45:00Z,user_020,34.0541,-118.2456,45.5,92,very_poor,128,0.0,asphalt,very_low,110,very_high,yes,outdoor_work,very_high
2026-04-25T13:00:00Z,user_021,34.0542,-118.2457,42.0,85,very_poor,120,0.5,concrete,low,95,very_high,yes,outdoor_work,very_high
2026-04-25T13:15:00Z,user_022,34.0543,-118.2458,40.5,82,very_poor,115,1.0,asphalt,low,90,very_high,yes,outdoor_work,very_high
2026-04-25T13:30:00Z,user_023,34.0544,-118.2459,38.8,78,poor,110,1.5,concrete,medium,85,very_high,yes,outdoor_work,very_high
2026-04-25T13:45:00Z,user_024,34.0545,-118.2460,37.2,75,poor,105,2.0,asphalt,medium,80,very_high,yes,outdoor_work,very_high
2026-04-25T14:00:00Z,user_025,34.0546,-118.2461,35.5,72,poor,100,2.5,concrete,medium,75,very_high,yes,outdoor_work,very_high
2026-04-25T14:15:00Z,user_026,34.0547,-118.2462,34.0,68,poor,95,3.0,asphalt,medium,70,high,yes,outdoor_work,high
2026-04-25T14:30:00Z,user_027,34.0548,-118.2463,32.5,65,moderate,90,3.5,concrete,high,65,high,yes,outdoor_activity,high
2026-04-25T14:45:00Z,user_028,34.0549,-118.2464,31.0,62,moderate,85,4.0,asphalt,high,60,high,yes,outdoor_activity,medium
2026-04-25T15:00:00Z,user_029,34.0550,-118.2465,29.5,58,moderate,80,4.5,concrete,high,55,medium,yes,outdoor_activity,medium
2026-04-25T15:15:00Z,user_030,34.0551,-118.2466,28.2,55,good,75,5.0,asphalt,high,50,medium,yes,outdoor_activity,low
2026-04-25T15:30:00Z,user_031,34.0552,-118.2467,27.0,52,good,70,5.5,concrete,very_high,45,medium,yes,outdoor_activity,low
2026-04-25T15:45:00Z,user_032,34.0553,-118.2468,26.0,50,good,65,6.0,asphalt,very_high,40,medium,yes,outdoor_activity,low
2026-04-25T16:00:00Z,user_033,34.0554,-118.2469,25.2,48,good,60,6.5,concrete,very_high,35,low,yes,commuting,low
2026-04-25T16:15:00Z,user_034,34.0555,-118.2470,24.5,46,good,55,7.0,asphalt,very_high,30,low,yes,commuting,low
2026-04-25T16:30:00Z,user_035,34.0556,-118.2471,24.0,45,good,50,7.5,concrete,very_high,25,low,yes,commuting,low
2026-04-25T16:45:00Z,user_036,34.0557,-118.2472,23.8,44,good,48,8.0,asphalt,very_high,20,low,yes,commuting,low
2026-04-25T17:00:00Z,user_037,34.0558,-118.2473,23.5,43,good,45,8.5,concrete,very_high,18,low,yes,commuting,low
2026-04-25T17:15:00Z,user_038,34.0559,-118.2474,23.2,42,good,42,9.0,asphalt,very_high,15,low,yes,commuting,low
2026-04-25T17:30:00Z,user_039,34.0560,-118.2475,23.0,41,good,40,9.5,concrete,very_high,12,low,yes,commuting,low
2026-04-25T17:45:00Z,user_040,34.0561,-118.2476,22.8,40,good,38,10.0,asphalt,very_high,10,low,yes,commuting,low
2026-04-25T18:00:00Z,user_041,34.0562,-118.2477,22.5,39,good,35,10.5,concrete,very_high,8,low,yes,commuting,low
2026-04-25T18:15:00Z,user_042,34.0563,-118.2478,22.3,38,good,33,11.0,asphalt,very_high,6,low,yes,commuting,low
2026-04-25T18:30:00Z,user_043,34.0564,-118.2479,22.0,37,good,30,11.5,concrete,very_high,5,low,yes,commuting,low
2026-04-25T18:45:00Z,user_044,34.0565,-118.2480,21.8,36,good,28,12.0,asphalt,very_high,4,low,yes,commuting,low
2026-04-25T19:00:00Z,user_045,34.0566,-118.2481,21.5,35,good,25,12.5,concrete,very_high,3,low,yes,commuting,low
2026-04-25T19:15:00Z,user_046,34.0567,-118.2482,21.3,34,good,23,13.0,asphalt,very_high,2,low,yes,commuting,low
2026-04-25T19:30:00Z,user_047,34.0568,-118.2483,21.0,33,good,20,13.5,concrete,very_high,2,low,yes,commuting,low
2026-04-25T19:45:00Z,user_048,34.0569,-118.2484,20.8,32,good,18,14.0,asphalt,very_high,2,low,yes,commuting,low
2026-04-25T20:00:00Z,user_049,34.0570,-118.2485,20.5,31,good,15,14.5,concrete,very_high,2,low,yes,commuting,low
2026-04-25T20:15:00Z,user_050,34.0571,-118.2486,20.3,30,good,13,15.0,asphalt,very_high,2,low,yes,commuting,low
2026-04-25T20:30:00Z,user_051,34.0572,-118.2487,20.0,29,good,10,15.5,concrete,very_high,2,low,yes,commuting,low
2026-04-25T20:45:00Z,user_052,34.0573,-118.2488,19.8,28,good,8,16.0,asphalt,very_high,2,low,yes,commuting,low
2026-04-25T21:00:00Z,user_053,34.0574,-118.2489,19.5,27,good,6,16.5,concrete,very_high,2,low,yes,commuting,low
2026-04-25T21:15:00Z,user_054,34.0575,-118.2490,19.3,26,good,5,17.0,asphalt,very_high,2,low,yes,commuting,low
2026-04-25T21:30:00Z,user_055,34.0576,-118.2491,19.0,25,good,4,17.5,concrete,very_high,2,low,yes,commuting,low
2026-04-25T21:45:00Z,user_056,34.0577,-118.2492,18.8,24,good,3,18.0,asphalt,very_high,2,low,yes,commuting,low
2026-04-25T22:00:00Z,user_057,34.0578,-118.2493,18.5,23,good,2,18.5,concrete,very_high,2,low,yes,commuting,low
2026-04-25T22:15:00Z,user_058,34.0579,-118.2494,18.3,22,good,2,19.0,asphalt,very_high,2,low,yes,commuting,low
2026-04-25T22:30:00Z,user_059,34.0580,-118.2495,18.0,21,good,2,19.5,concrete,very_high,2,low,yes,commuting,low
2026-04-25T22:45:00Z,user_060,34.0581,-118.2496,17.8,20,good,2,20.0,asphalt,very_high,2,low,yes,commuting,low
2026-04-25T23:00:00Z,user_061,34.0582,-118.2497,17.5,19,good,2,20.5,concrete,very_high,2,low,yes,commuting,low
2026-04-25T23:15:00Z,user_062,34.0583,-118.2498,17.3,18,good,2,21.0,asphalt,very_high,2,low,yes,commuting,low
2026-04-25T23:30:00Z,user_063,34.0584,-118.2499,17.0,17,good,2,21.5,concrete,very_high,2,low,yes,commuting,low
2026-04-25T23:45:00Z,user_064,34.0585,-118.2500,16.8,16,good,2,22.0,asphalt,very_high,2,low,yes,commuting,low
2026-04-26T00:00:00Z,user_065,34.0586,-118.2501,16.5,15,good,2,22.5,concrete,very_high,2,low,yes,commuting,low
2026-04-26T00:15:00Z,user_066,34.0587,-118.2502,16.3,14,good,2,23.0,asphalt,very_high,2,low,yes,commuting,low
2026-04-26T00:30:00Z,user_067,34.0588,-118.2503,16.0,13,good,2,23.5,concrete,very_high,2,low,yes,commuting,low
2026-04-26T00:45:00Z,user_068,34.0589,-118.2504,15.8,12,good,2,24.0,asphalt,very_high,2,low,yes,commuting,low
2026-04-26T01:00:00Z,user_069,34.0590,-118.2505,15.5,11,good,2,24.5,concrete,very_high,2,low,yes,commuting,low
2026-04-26T01:15:00Z,user_070,34.0591,-118.2506,15.3,10,good,2,25.0,asphalt,very_high,2,low,yes,commuting,low
2026-04-26T01:30:00Z,user_071,34.0592,-118.2507,15.0,9,good,2,25.5,concrete,very_high,2,low,yes,commuting,low
2026-04-26T01:45:00Z,user_072,34.0593,-118.2508,14.8,8,good,2,26.0,asphalt,very_high,2,low,yes,commuting,low
2026-04-26T02:00:00Z,user_073,34.0594,-118.2509,14.5,7,good,2,26.5,concrete,very_high,2,low,yes,commuting,low
2026-04-26T02:15:00Z,user_074,34.0595,-118.2510,14.3,6,good,2,27.0,asphalt,very_high,2,low,yes,commuting,low
2026-04-26T02:30:00Z,user_075,34.0596,-118.2511,14.0,5,good,2,27.5,concrete,very_high,2,low,yes,commuting,low
2026-04-26T02:45:00Z,user_076,34.0597,-118.2512,13.8,4,good,2,28.0,asphalt,very_high,2,low,yes,commuting,low
2026-04-26T03:00:00Z,user_077,34.0598,-118.2513,13.5,3,good,2,28.5,concrete,very_high,2,low,yes,commuting,low
2026-04-26T03:15:00Z,user_078,34.0599,-118.2514,13.3,2,good,2,29.0,asphalt,very_high,2,low,yes,commuting,low
2026-04-26T03:30:00Z,user_079,34.0600,-118.2515,13.0,1,good,2,29.5,concrete,very_high,2,low,yes,commuting,low
2026-04-26T03:45:00Z,user_080,34.0601,-118.2516,12.8,1,good,2,30.0,asphalt,very_high,2,low,yes,commuting,low
2026-04-26T04:00:00Z,user_081,34.0602,-118.2517,12.5,1,good,2,30.5,concrete,very_high,2,low,yes,commuting,low
2026-04-26T04:15:00Z,user_082,34.0603,-118.2518,12.3,1,good,2,31.0,asphalt,very_high,2,low,yes,commuting,low
2026-04-26T04:30:00Z,user_083,34.0604,-118.2519,12.0,1,good,2,31.5,concrete,very_high,2,low,yes,commuting,low
2026-04-26T04:45:00Z,user_084,34.0605,-118.2520,11.8,1,good,2,32.0,asphalt,very_high,2,low,yes,commuting,low
2026-04-26T05:00:00Z,user_085,34.0606,-118.2521,11.5,1,good,2,32.5,concrete,very_high,2,low,yes,commuting,low
2026-04-25T08:00:00Z,user_086,34.0610,-118.2525,29.0,47,good,48,2.8,concrete,medium,18,medium,yes,commuting,low
2026-04-25T08:15:00Z,user_087,34.0611,-118.2526,30.5,50,moderate,55,2.2,asphalt,medium,22,medium,yes,outdoor_activity,medium
2026-04-25T08:30:00Z,user_088,34.0612,-118.2527,32.0,53,moderate,62,1.8,concrete,low,28,high,yes,outdoor_work,high
2026-04-25T08:45:00Z,user_089,34.0613,-118.2528,33.5,56,poor,68,1.4,asphalt,low,32,high,yes,outdoor_work,high
2026-04-25T09:00:00Z,user_090,34.0614,-118.2529,35.0,59,poor,75,1.0,concrete,very_low,38,very_high,yes,outdoor_work,very_high
2026-04-25T09:15:00Z,user_091,34.0615,-118.2530,36.5,62,poor,82,0.6,asphalt,very_low,42,very_high,yes,outdoor_work,very_high
2026-04-25T09:30:00Z,user_092,34.0616,-118.2531,38.0,65,poor,88,0.4,concrete,very_low,48,very_high,yes,outdoor_work,very_high
2026-04-25T09:45:00Z,user_093,34.0617,-118.2532,39.5,68,very_poor,94,0.2,asphalt,very_low,52,very_high,yes,outdoor_work,very_high
2026-04-25T10:00:00Z,user_094,34.0618,-118.2533,41.0,71,very_poor,100,0.0,concrete,very_low,58,very_high,yes,outdoor_work,very_high
2026-04-25T10:15:00Z,user_095,34.0619,-118.2534,42.5,74,very_poor,106,0.0,asphalt,very_low,64,very_high,yes,outdoor_work,very_high
2026-04-25T10:30:00Z,user_096,34.0620,-118.2535,44.0,77,very_poor,112,0.0,concrete,very_low,70,very_high,yes,outdoor_work,very_high
2026-04-25T10:45:00Z,user_097,34.0621,-118.2536,45.5,80,very_poor,118,0.0,asphalt,very_low,76,very_high,yes,outdoor_work,very_high
2026-04-25T11:00:00Z,user_098,34.0622,-118.2537,43.0,78,very_poor,114,0.3,concrete,low,72,very_high,yes,outdoor_work,very_high
2026-04-25T11:15:00Z,user_099,34.0623,-118.2538,40.5,75,very_poor,108,0.8,asphalt,low,68,very_high,yes,outdoor_work,very_high
2026-04-25T11:30:00Z,user_100,34.0624,-118.2539,38.0,72,poor,102,1.2,concrete,medium,64,very_high,yes,outdoor_work,very_high
